CCAA,Residencias de titularidad pública,Residencias de titularidad privada,Todas las residencias,1/100 de la población de la comunidad autónoma
01 Andalucía,9501,33094,42595,84142.4
02 Aragón,6148,12276,18424,13192.91
03 Principado\nAsturias,3876,8437,12313,10228
04 Illes\nBalears,2096,3014,5110,11494.6
05 Canarias,3855,3472,7327,21533.89
06 Cantabria,848,5176,6024,5810.78
07 Castilla\ny León,11993,34464,46457,23995.48
08 Castilla\nLa Mancha,9991,16658,26649,20328.63
09 Cataluña,12621,49357,61978,76752.17
10 Comunitat\nValenciana,5336,21474,26810,50037.69
11 Extremadura,7570,6181,13751,10677.1
12 Galicia,4838,16342,21180,26994.99
13 Comunidad\nde Madrid,11463,37305,48768,66633.94
14 Región\nde Murcia,1249,3943,5192,14938.98
15 Comunidad\nForal de Navarra,1982,4167,6149,6542.14
16 País Vasco,6661,13873,20534,22077.76
17 La Rioja,1065,2144,3209,3167.98
18 Ceuta\n19 Melilla,216,273,489,1712.64
