pooled,,0to14,zscore,2016-49,1.4
pooled,,0to14,zscore,2016-50,0.94
pooled,,0to14,zscore,2016-51,1.33
pooled,,0to14,zscore,2016-52,2.64
pooled,,0to14,zscore,2017-01,0.18
pooled,,0to14,zscore,2017-02,0.43
pooled,,0to14,zscore,2017-03,-0.32
pooled,,0to14,zscore,2017-04,0.39
pooled,,0to14,zscore,2017-05,1.79
pooled,,0to14,zscore,2017-06,0.81
pooled,,0to14,zscore,2017-07,-0.03
pooled,,0to14,zscore,2017-08,-0.47
pooled,,0to14,zscore,2017-09,0.41
pooled,,0to14,zscore,2017-10,1.29
pooled,,0to14,zscore,2017-11,-0.05
pooled,,0to14,zscore,2017-12,-1.22
pooled,,0to14,zscore,2017-13,-0.88
pooled,,0to14,zscore,2017-14,-0.03
pooled,,0to14,zscore,2017-15,1.76
pooled,,0to14,zscore,2017-16,0.18
pooled,,0to14,zscore,2017-17,1.01
pooled,,0to14,zscore,2017-18,2.04
pooled,,0to14,zscore,2017-19,-0.58
pooled,,0to14,zscore,2017-20,-0.3
pooled,,0to14,zscore,2017-21,-0.96
pooled,,0to14,zscore,2017-22,-0.1
pooled,,0to14,zscore,2017-23,1.2
pooled,,0to14,zscore,2017-24,3.19
pooled,,0to14,zscore,2017-25,-0.57
pooled,,0to14,zscore,2017-26,1.5
pooled,,0to14,zscore,2017-27,1.16
pooled,,0to14,zscore,2017-28,-0.53
pooled,,0to14,zscore,2017-29,1.38
pooled,,0to14,zscore,2017-30,-0.2
pooled,,0to14,zscore,2017-31,0.17
pooled,,0to14,zscore,2017-32,-0.39
pooled,,0to14,zscore,2017-33,-0.13
pooled,,0to14,zscore,2017-34,-1.56
pooled,,0to14,zscore,2017-35,0.75
pooled,,0to14,zscore,2017-36,-1.23
pooled,,0to14,zscore,2017-37,-0.08
pooled,,0to14,zscore,2017-38,0.02
pooled,,0to14,zscore,2017-39,0.07
pooled,,0to14,zscore,2017-40,0.53
pooled,,0to14,zscore,2017-41,0.11
pooled,,0to14,zscore,2017-42,-0.11
pooled,,0to14,zscore,2017-43,-0.17
pooled,,0to14,zscore,2017-44,-0.49
pooled,,0to14,zscore,2017-45,-1.08
pooled,,0to14,zscore,2017-46,1.64
pooled,,0to14,zscore,2017-47,1.98
pooled,,0to14,zscore,2017-48,-0.68
pooled,,0to14,zscore,2017-49,0.29
