Pais;% of hospital beds per 1000 inhabitants;Year;% nurses per 1000 inhabitants;Year;% doctors per 1000 inhabitants;Year
Australia;3.84;2016;11.92;2018;3.75;2018
Austria;7.27;2018;6.87;2018;5.24;2018
Belgium;5.58;2019;11.22;2017;3.13;2018
Brazil;2.3;2012;1.47;2010;1.82;2010
Canada;2.52;2019;9.95;2018;2.8;2019
Chile;2.06;2018;;;;
China;4.31;2017;2.68;2017;1.99;2017
Colombia;1.71;2018;1.33;2018;2.18;2018
Costa Rica;1.1;2019;;;;
Czechia;6.62;2018;8.07;2018;4.04;2018
Denmark;2.6;2019;10.1;2018;4.19;2018
Estonia;4.57;2018;6.29;2018;3.48;2018
Finland;3.61;2018;14.26;2014;3.21;2014
France;5.91;2018;10.79;2018;3.37;2018
Germany;8;2017;13.22;2018;4.31;2018
Greece;4.2;2018;3.37;2018;;
Hungary;7.01;2018;6.62;2018;3.38;2018
Iceland;2.83;2019;15.52;2019;3.93;2019
India;0.53;2017;1.5;2016;0.78;2017
Indonesia;1.04;2017;1.16;2013;0.32;2013
Ireland;2.97;2018;12.88;2018;3.34;2019
Israel;2.98;2018;5.03;2018;3.22;2018
Italy;3.14;2018;6.73;2018;4.02;2019
Japan;12.98;2018;11.76;2018;2.49;2018
Korea, Republic of;12.43;2018;7.24;2018;2.39;2018
Latvia;5.49;2018;4.35;2018;3.3;2018
Lithuania;6.43;2018;7.78;2018;4.6;2018
Luxembourg;4.26;2019;11.72;2017;2.98;2017
Mexico;0.98;2018;2.87;2018;2.44;2018
Netherlands;3.17;2018;12.23;2013;3.31;2013
New Zealand;2.57;2019;10.34;2018;3.35;2018
Norway;3.53;2018;17.97;2019;4.93;2019
Poland;6.54;2018;5.1;2017;2.38;2017
Portugal;3.45;2018;6.88;2018;;
Russian Federation;7.12;2018;8.46;2018;4.09;2018
Slovakia;5.7;2018;5.7;2018;3.52;2018
Slovenia;4.43;2018;10.14;2018;3.18;2018
South Africa;2.3;2010;1.31;2017;0.78;2015
Spain;2.97;2018;5.87;2018;4.02;2018
Sweden;2.14;2018;10.88;2017;4.27;2017
Switzerland;4.63;2018;17.59;2018;4.34;2018
Turkey;2.85;2018;2.34;2018;1.88;2018
United Kingdom of Great Britain and Northern Ireland;2.46;2019;7.78;2018;2.95;2019
United States of America;2.87;2017;11.89;2018;2.61;2018
