pooled;;0to14;zscore;2015-53;-2.42
pooled;;0to14;zscore;2016-01;-0.42
pooled;;0to14;zscore;2016-02;-1.74
pooled;;0to14;zscore;2016-03;-0.11
pooled;;0to14;zscore;2016-04;1.51
pooled;;0to14;zscore;2016-05;0.4
pooled;;0to14;zscore;2016-06;1.39
pooled;;0to14;zscore;2016-07;0.44
pooled;;0to14;zscore;2016-08;0.5
pooled;;0to14;zscore;2016-09;0.58
pooled;;0to14;zscore;2016-10;0.5
pooled;;0to14;zscore;2016-11;0.52
pooled;;0to14;zscore;2016-12;0
pooled;;0to14;zscore;2016-13;-0.07
pooled;;0to14;zscore;2016-14;-1.33
pooled;;0to14;zscore;2016-15;1.27
pooled;;0to14;zscore;2016-16;-0.71
pooled;;0to14;zscore;2016-17;0.93
pooled;;0to14;zscore;2016-18;-0.76
pooled;;0to14;zscore;2016-19;0.98
pooled;;0to14;zscore;2016-20;-0.16
pooled;;0to14;zscore;2016-21;2.1
pooled;;0to14;zscore;2016-22;1.44
pooled;;0to14;zscore;2016-23;-1.18
pooled;;0to14;zscore;2016-24;-1.16
pooled;;0to14;zscore;2016-25;-0.42
pooled;;0to14;zscore;2016-26;0.66
pooled;;0to14;zscore;2016-27;1.22
pooled;;0to14;zscore;2016-28;0.53
pooled;;0to14;zscore;2016-29;0.64
pooled;;0to14;zscore;2016-30;0.24
pooled;;0to14;zscore;2016-31;0.86
pooled;;0to14;zscore;2016-32;-1.08
pooled;;0to14;zscore;2016-33;-0.25
pooled;;0to14;zscore;2016-34;-1.5
pooled;;0to14;zscore;2016-35;0.11
pooled;;0to14;zscore;2016-36;0.36
pooled;;0to14;zscore;2016-37;0.91
pooled;;0to14;zscore;2016-38;-1.3
pooled;;0to14;zscore;2016-39;-0.21
pooled;;0to14;zscore;2016-40;-0.06
pooled;;0to14;zscore;2016-41;1.29
pooled;;0to14;zscore;2016-42;0.12
pooled;;0to14;zscore;2016-43;-0.81
pooled;;0to14;zscore;2016-44;-0.46
pooled;;0to14;zscore;2016-45;0.35
pooled;;0to14;zscore;2016-46;-1.1
pooled;;0to14;zscore;2016-47;-0.95
pooled;;0to14;zscore;2016-48;1.38
pooled;;0to14;zscore;2016-49;1.22
pooled;;0to14;zscore;2016-50;0.57
pooled;;0to14;zscore;2016-51;1.41
pooled;;0to14;zscore;2016-52;2.48
pooled;;0to14;zscore;2017-01;0.11
pooled;;0to14;zscore;2017-02;0.42
pooled;;0to14;zscore;2017-03;-0.24
pooled;;0to14;zscore;2017-04;0.53
pooled;;0to14;zscore;2017-05;1.83
pooled;;0to14;zscore;2017-06;0.76
pooled;;0to14;zscore;2017-07;0.07
pooled;;0to14;zscore;2017-08;-0.63
pooled;;0to14;zscore;2017-09;0.46
pooled;;0to14;zscore;2017-10;1.28
pooled;;0to14;zscore;2017-11;-0.31
pooled;;0to14;zscore;2017-12;-1.07
pooled;;0to14;zscore;2017-13;-0.84
pooled;;0to14;zscore;2017-14;0.07
pooled;;0to14;zscore;2017-15;1.71
pooled;;0to14;zscore;2017-16;0.22
pooled;;0to14;zscore;2017-17;1.06
pooled;;0to14;zscore;2017-18;2.08
pooled;;0to14;zscore;2017-19;-0.43
pooled;;0to14;zscore;2017-20;-0.31
pooled;;0to14;zscore;2017-21;-1.13
pooled;;0to14;zscore;2017-22;0.05
pooled;;0to14;zscore;2017-23;1.34
pooled;;0to14;zscore;2017-24;3.14
pooled;;0to14;zscore;2017-25;-0.42
pooled;;0to14;zscore;2017-26;1.29
pooled;;0to14;zscore;2017-27;1.15
pooled;;0to14;zscore;2017-28;-0.6
pooled;;0to14;zscore;2017-29;1.47
pooled;;0to14;zscore;2017-30;-0.16
pooled;;0to14;zscore;2017-31;0.1
pooled;;0to14;zscore;2017-32;-0.47
pooled;;0to14;zscore;2017-33;0.06
pooled;;0to14;zscore;2017-34;-1.42
pooled;;0to14;zscore;2017-35;0.68
pooled;;0to14;zscore;2017-36;-1.04
