"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Pontevedra, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Nuestra Señora de la Asunción,Calle,Mateo Sagasta,24,36650,Caldas de Reis,986 54 00 34,Privada sin fin de lucro,77,,"42,604062","-8,642000",18/07/2017
Residencia Nuestra Señora de Valvanera,Calle,Narciso Pérez,41,36630,Cambados,986 54 20 40,Privada sin fin de lucro,70,,"42,508865","-8,816812",07/07/2017
Residencia Cangas,Camino,da Costa,3,36945,Cangas,986 39 10 48,Privada,152,www.domusvi.es/residencia-de-mayores-cangas,"42,278803","-8,808021",03/04/2019
Residencia para maiores Santa Teresa A Cañiza,Calle,Castelao,11,36880,Cañiza (A),986 18 29 18,Privada sin fin de lucro,132,www.fundacionsanrosendo.es/residencia-santa-teresa,"42,211245","-8,274764",24/04/2019
Residencia da 3ª idade Nosa Señora do Rosario,,Sobreiro,9,36883,Cañiza (A),988 36 60 86,Privada sin fin de lucro,32,www.fundacionsanrosendo.es/residencia-nuestra-senora-rosario,"42,167337","-8,269278",09/05/2015
Fogar residencial de Cerdedo,Calle,Fonte de Brandes,17,36139,Cerdedo-Cotobade,986 09 72 17,Pública autonómica,18,,"42,534520","-8,389686",23/03/2018
Residencia da 3ª idade O Covelo,Plaza,Capitán Carreró,s/n,36872,Covelo,986 65 02 35,Privada sin fin de lucro,50,www.fundacionsanrosendo.es/residencia-covelo,"42,232828","-8,363292",12/04/2019
Residencia San Pedro,Calle,García Neira,17,36420,Crecente,986 64 49 00,Pública local,38,www.facebook.com/RESIDENCIASANPEDROCRECIENTE/,"42,153736","-8,223061",03/04/2019
Residencia de mayores A Estrada,Plaza,de Mercado,3,36680,Estrada (A),886 15 10 01,Pública autonómica,40,,"42,689000","-8,493020",03/04/2019
Vivienda comunitaria Mamá Mela,,Lugar Iglesia,22,36550,Forcarei,986 75 55 85 / 646 03 42 63,Privada,12,vivienda-comunitaria-mama-mela.business.site,"42,602547","-8,333909",07/08/2017
Residencia y apartamentos tutelados Nuestra Señora de los Dolores,,O Valiño,,36550,Forcarei,986 75 56 40,Privada sin fin de lucro,92,www.fundacionsanrosendo.es/residencia-virxe-das-dores,"42,593205","-8,351932",12/04/2019
Residencia Vila do Conde,Barrio,Portelo,Vilaza,36380,Gondomar,986 38 40 43,Privada,119,www.residenciaviladoconde.com,"42,117171","-8,764637",03/07/2019
Residencia de tercera edad Monte Tecla,Calle,Playa de Camposancos,s/n,36788,Guarda (A),986 62 72 65,Privada,150,www.montetecla.com,"41,877200","-8,866460",03/04/2019
Residencia mixta As Dores,Calle,Antonia Ferrin Moreiras,17,36500,Lalín,986 78 18 97,Privada,92,www.residenciadasdores.es,"42,662684","-8,110008",04/04/2019
Hogar Santa Rita,Calle,Arenal,59,36500,Lalín,986 78 06 54 / 663 39 43 03,Privada,10,fogarsantarita.com,"42,665397","-8,108392",23/03/2018
DomusVi Lalín,,Filgueiroa,60 - Donramiro,36500,Lalín,986 78 70 66,Privada,151,www.domusvi.es/residencia-de-ancianos-lalin-pontevedra,"42,665551","-8,132451",03/04/2019
