"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Araba/Álava, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Sallurtegi,Calle,Lapurdi,7,01200,Agurain/Salvatierra,945 31 24 41,Pública provincial,50,,"42,851977","-2,387561",21/06/2019
Vivienda comunitaria Mikelats,Calle,Agurain,3,01240,Alegría-Dulantzi,945 40 07 34,Privada,11,,"42,842321","-2,515096",19/07/2017
Vivienda comunitaria Mikel Anitua,Calle,Bide Zaharra,10,01240,Alegría-Dulantzi,945 40 09 59,Privada,14,,"42,839502","-2,512326",17/04/2017
Vivienda comunitaria San Mamés Etxea,Camino,de Etxegoien,17 - bajo,01470,Amurrio,945 89 24 13,Pública local,8,,"43,050186","-3,006848",13/03/2018
Residencia San Antón de Armuru,Calle,Intxaurdio,3,01470,Amurrio,945 89 10 11,Pública provincial,40,,"43,055627","-2,998724",23/04/2019
Residencia Maskuribai,Calle,Maskuribai,7 C,01470,Amurrio,945 06 62 12 / 945 06 62 10 / 629 56 57 05,Privada,15,,"43,048857","-2,999902",16/05/2019
Residencia 3ª edad San Francisco Javier,Calle,Parrate,8,01520,Arratzua-Ubarrundia,945 29 99 33 / 616 47 14 91,Privada,14,www.residencia-ancianos-alava.es/residencial.html,"42,917264","-2,617260",12/07/2017
Residencia La Encina Artziniega,Calle,Puerta de la Villa,2,01474,Artziniega,945 39 69 08,Privada,52,www.residencialaencina.com,"43,121269","-3,130705",05/04/2019
Vivienda comunitaria de Asparrena,Calle,Herriko Enparantza,12,01250,Asparrena,945 31 45 47,Pública local,12,www.asparrena.eus/servicios-sociales/vivienda-comunitaria-protegida,"42,889579","-2,317494",14/03/2018
Residencia Alday,Barrio,La Llana,6,01476,Ayala/Aiara,945 39 90 23,Privada,38,,"43,075379","-3,041483",04/04/2019
Residencia Geriátrica Gaztelu,Calle,Isarte,16,01206,Barrundia,945 30 70 59,Privada,19,www.residenciageriatricagaztelu.com,"42,870050","-2,500426",14/03/2018
Residencia Hogar Larrea,Barrio,Etxebiarte,2,01208,Barrundia,945 30 72 02 / 646 75 28 40,Privada,14,www.residenciahogarlarrea.com,"42,917830","-2,459014",07/02/2019
Residencia de 3ª edad Nuestra Señora de Okon,Carretera,de Santa Cruz,57,01118,Bernedo,945 37 82 98,Privada,38,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-bernedo,"42,628780","-2,493254",29/04/2019
Vivienda comunitaria de Campezo,Calle,Arrabal,5,01110,Campezo/Kanpezu,945 41 51 81,Pública local,14,www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-campezo,"42,693256","-2,395938",20/05/2015
Residencia Burgelu,Avenida,Burgelu,24,01192,Elburgo/Burgelu,658 74 08 19 / 945 40 06 86,Privada,31,www.actiweb.es/burgelu/,"42,849456","-2,544482",04/04/2019
Residencia Ribera Alta,,Caicedo - Sopeña,36,01420,Erriberagoitia/Ribera Alta,945 36 20 58 / 627 49 97 97 / 627 49 97 82,Privada,24,www.residenciariberaalta.com,"42,785882","-2,916915",04/04/2019
Residencia Villodas,Calle,Iruña,13,01195,Iruña Oka/Iruña de Oca,945 36 40 95,Privada,23,www.arinezresidencia.com,"42,835305","-2,784751",03/04/2019
Vivienda comunitaria El Manantial,Calle,Rubina,7,01230,Iruña Oka/Iruña de Oca,945 36 15 64,Privada,14,residenciaelmanantial.es,"42,815496","-2,813187",05/04/2019
Vivienda comunitaria La Barbacana,Paseo,de la Cigüeña,s/n,01300,Laguardia,945 60 08 05,Pública local,14,www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-laguardia,"42,551350","-2,583855",27/03/2018
Vivienda comunitaria Garaitia 1 y 2,Calle,Pío XII,7 - 3º y 4º,01400,Laudio/Llodio,946 72 34 09 / 946 72 39 58,Privada,14,,"43,142401","-2,962764",01/06/2011
Residencia San Roque,Calle,Zumalakarregi,63,01400,Laudio/Llodio,946 72 97 50,Pública provincial,50,,"43,140861","-2,965925",03/04/2019
Residencia Aiara,Calle,Irabien,10,01409,Okondo,945 89 80 61,Privada,22,,"43,158868","-3,026302",11/07/2017
Residencia Nuestra Señora de las Viñas,Carretera,de Moreda,s/n,01320,Oyón-Oion,945 62 26 20,Pública provincial,30,,"42,506384","-2,433136",09/04/2019
Residencia Perpetuo Socorro de Rivabellosa,Calle,Postas,34,01213,Ribera Baja/Erribera Beitia,945 35 50 92,Privada,34,,"42,712269","-2,914498",20/09/2013
Residencia Samaniego,Calle,El Ochavo,37,01307,Samaniego,945 60 92 50,Pública provincial,48,,"42,569667","-2,678415",09/04/2019
Residencia Zubitxu,Calle,Zubitxu,4,01207,San Millán/Donemiliaga,945 30 19 28,Privada,24,www.residenciazubitxu.com,"42,836273","-2,455872",04/04/2019
Vivienda comunitaria Zabalbide,Calle,Ugarte,10 - bajo,01440,Urkabustaiz,,Privada,14,,"42,952195","-2,898444",10/06/2011
Vivienda comunitaria de Espejo,Calle,Saturnina Salazar,s/n,01423,Valdegovía/Gaubea,945 35 12 17,Pública local,10,www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002153380&pageid=500002131323&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro,"42,809474","-3,048538",09/05/2018
Residencia de mayores Aurora,Calle,Correría,56 - 58,01001,Vitoria-Gasteiz,945 16 11 76 / 945 16 11 77,Pública local,41,www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&idioma=es&uid=_21361ee7_1243262b4bb__7f95,"42,848323","-2,673558",05/04/2019
Apartamentos tutelados de mayores Aurora,Calle,Correría,57,01001,Vitoria-Gasteiz,945 16 11 81,Pública local,15,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,"42,848354","-2,673664",07/07/2017
Residencia de mayores Arquillos,Paseo,de los Arquillos,11,01001,Vitoria-Gasteiz,945 16 11 40 / 945 16 11 41,Pública local,21,,"42,847340","-2,671232",08/04/2019
Residencia Tagore,Paseo,de Berlín,15 A,01002,Vitoria-Gasteiz,945 13 06 69,Privada,48,www.residenciatagore.com,"42,855642","-2,650598",10/05/2018
Centro integral de atención a mayores San Prudencio,Calle,Francia,35,01002,Vitoria-Gasteiz,945 16 17 05,Pública local,171,,"42,849715","-2,669361",10/07/2017
Residencia Agure Salburua,Avenida,Juan Carlos I,19 - A,01002,Vitoria-Gasteiz,945 00 16 62,Privada,14,,"42,854929","-2,651871",05/06/2019
Vivienda comunitaria Estíbaliz,Calle,Los Herrán,1 - 1º izda.,01002,Vitoria-Gasteiz,945 28 39 01,Privada,5,,"42,843292","-2,664621",18/02/2014
Residencia Agure Ricallor,Calle,Bulevard de Salbura,54 - 56 bajo,01003,Vitoria-Gasteiz,945 10 90 90,Privada,17,,"42,843856","-2,650214",07/02/2019
Vivienda comunitaria,Calle,Nadine Gordimer,19,01003,Vitoria-Gasteiz,945 71 68 40,Privada,14,,"42,846568","-2,644924",12/07/2019
