"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Albacete, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última modificación:
Residencia de Mayores Don Quijote,Calle,Cervantes,2,02250,Abengibre,967 47 15 64,Privada,57,www.sercoama.com,"39,211072","-1,543861",04/16/2019
Residencia Asistida San Vicente de Paúl,Calle,Alcalde Conangla,44,02001,Albacete,967 52 42 00,Pública provincial,134,,"38,993973","-1,848711",04/03/2019
Residencia de Mayores Núñez de Balboa,Calle,Vasco Núñez de Balboa,7,02001,Albacete,967 21 33 83,Pública autonómica,201,,"38,995103","-1,844501",04/08/2019
Residencia de 3ª Edad Santa Teresa,Plaza,de San Felipe Neri,2,02002,Albacete,967 51 14 34,Privada,60,www.residenciasantateresa.com,"38,985346","-1,856621",04/03/2019
Residencia - Asilo de San Antón,Barrio,Doctor Beltrán Mateos,1,02002,Albacete,967 22 25 68,Privada sin fin de lucro,130,,"38,984623","-1,851784",04/06/2018
Vitalparque,Calle,Casas-Ibáñez,39,02005,Albacete,967 21 31 30,Privada,252,www.vitalparque.com,"39,009974","-1,862193",04/03/2019
Residencia de Mayores Paseo de la Cuba,Paseo,de la Cuba,39,02006,Albacete,967 52 34 97,Pública autonómica,220,,"39,006769","-1,861577",04/03/2019
Residencia de Mayores Los Álamos de Santa Gemma,Carretera,Peñas de San Pedro,Km. 2,02006,Albacete,967 59 05 45,Privada,183,www.losalamos.eu,"38,968601","-1,873377",04/19/2019
Residencia de Mayores Alábega,Calle,Arquitectura,1,02008,Albacete,967 55 00 36,Pública autonómica,120,serviger.es/centros/albacete/centro-serviger-en-albacete,"38,977639","-1,849934",09/14/2017
Residencia Alcabala,Calle,Escritor Camilo José Cela,2,02008,Albacete,967 19 37 90,Pública autonómica,120,,"38,994447","-1,842896",04/04/2019
Residencia de Mayores Ribera del Júcar,Calle,Berrocal,s/n,02210,Alcalá del Júcar,967 47 41 57,Privada,64,,"39,197975","-1,425135",04/17/2019
Residencia de Mayores Nuestra Señora de Cortes,Calle,Historiador Marco Hidalgo,s/n,02300,Alcaraz,967 38 04 29,Privada,45,www.fundaciondiagrama.es/sociosanitario/dependencia/residencia-mayores,"38,668914","-2,489158",04/03/2019
Residencia San José,Calle,Corredera,117,02640,Almansa,967 34 01 03,Privada sin fin de lucro,80,,"38,862385","-1,088361",09/15/2017
Residencia de Mayores El Castillo,Calle,Hellín,2,02640,Almansa,967 31 88 01,Pública autonómica,59,,"38,862364","-1,090931",04/04/2019
Vivienda Tutelada de Alpera,Plaza,del Ayuntamiento,14,02690,Alpera,967 33 05 96,Pública local,10,,"38,959924","-1,229960",04/03/2019
Residencia Parroquial de 3ª Edad Santa Mónica,Calle,Mayor,33,02320,Balazote,967 36 04 26,Privada,51,,"38,884286","-2,151446",09/11/2017
Vivienda Tutelada,Travesía,Cantarranas,3,02610,Bonillo (El),967 37 06 50,Pública local,9,,"38,947522","-2,539162",04/23/2019
Residencia Nuestra Señora del Carmen,Calle,San Sebastián,1,02610,Bonillo (El),967 37 00 26,Privada,26,,"38,950812","-2,544786",07/11/2013
Vivienda Tutelada de la 3ª Edad,Calle,Cristo,59,02153,Carcelén,967 40 30 01 / 967 40 32 50,Pública local,9,,"39,104408","-1,308760",09/15/2017
Residencia de Mayores La Manchuela,Calle,Cubas,2,02151,Casas de Juan Núñez,967 40 62 03 / 967 40 62 04,Privada,29,www.quironsalud.es/es/red-centros/residencia-manchuela,"39,102543","-1,558257",04/05/2019
Residencia de 3ª Edad,Calle,Pascual Faura,3,02200,Casas-Ibáñez,967 46 07 00 / 967 46 11 20,Pública local,43,www.sercoama.com,"39,286600","-1,470777",04/15/2019
Residencia de Ancianos San Juan Evangelista,Calle,El Molino,113,02660,Caudete,965 82 70 76,Privada,79,,"38,707425","-0,984032",04/06/2018
Vivienda municipal de mayores,Paseo,de la Libertad,3,02637,Fuensanta,967 44 78 24,Pública local,10,viviendatuteladadefuensanta.blogspot.com.es/,"39,245525","-2,068288",11/01/2019
Residencia de Mayores María del Buen Suceso,Camino,Real,6,02110,Gineta (La),967 27 50 92,Privada,54,,"39,117877","-2,001550",07/18/2013
Residencia de mayores Las Hazas,Carretera,de Agra,s/n - Paraje Las Hazas,02400,Hellín,967 30 29 81,Pública autonómica,160,www.amavir.es/residencia-de-ancianos-albacete-amavir-las-hazas,"38,489010","-1,708989",04/03/2019
