"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSE","TOT","1000HAB","A","1980",10.33,
"AUS","NURSE","TOT","1000HAB","A","1981",9.91,
"AUS","NURSE","TOT","1000HAB","A","1982",9.85,
"AUS","NURSE","TOT","1000HAB","A","1983",9.87,
"AUS","NURSE","TOT","1000HAB","A","1984",9.91,
"AUS","NURSE","TOT","1000HAB","A","1985",9.55,
"AUS","NURSE","TOT","1000HAB","A","1986",10.92,"B"
"AUS","NURSE","TOT","1000HAB","A","1987",11.37,
"AUS","NURSE","TOT","1000HAB","A","1988",11.6,
"AUS","NURSE","TOT","1000HAB","A","1989",11.72,
"AUS","NURSE","TOT","1000HAB","A","1990",11.63,
"AUS","NURSE","TOT","1000HAB","A","1991",12.08,
"AUS","NURSE","TOT","1000HAB","A","1992",11.57,
"AUS","NURSE","TOT","1000HAB","A","1993",11.1,"B"
"AUS","NURSE","TOT","1000HAB","A","1994",11.5,
"AUS","NURSE","TOT","1000HAB","A","1995",10.84,
"AUS","NURSE","TOT","1000HAB","A","1996",10.83,
"AUS","NURSE","TOT","1000HAB","A","1997",10.41,"B"
"AUS","NURSE","TOT","1000HAB","A","1998",10.3,
"AUS","NURSE","TOT","1000HAB","A","1999",10.17,
"AUS","NURSE","TOT","1000HAB","A","2000",10.07,
"AUS","NURSE","TOT","1000HAB","A","2001",9.95,
"AUS","NURSE","TOT","1000HAB","A","2002",9.94,
"AUS","NURSE","TOT","1000HAB","A","2003",9.94,
"AUS","NURSE","TOT","1000HAB","A","2004",10.21,
"AUS","NURSE","TOT","1000HAB","A","2005",9.76,
"AUS","NURSE","TOT","1000HAB","A","2007",10.2,
"AUS","NURSE","TOT","1000HAB","A","2008",10.3,
"AUS","NURSE","TOT","1000HAB","A","2009",10.18,
"AUS","NURSE","TOT","1000HAB","A","2011",10.19,
"AUS","NURSE","TOT","1000HAB","A","2012",10.22,"E"
"AUS","NURSE","TOT","1000HAB","A","2013",11.12,
"AUS","NURSE","TOT","1000HAB","A","2014",11.28,"E"
"AUS","NURSE","TOT","1000HAB","A","2015",11.39,"E"
"AUS","NURSE","TOT","1000HAB","A","2016",11.57,"E"
"AUS","NURSE","TOT","1000HAB","A","2017",11.68,"E"
"AUS","NURSE","TOT","1000HAB","A","2018",11.92,"E"
"AUT","NURSE","TOT","1000HAB","A","1985",3.41,"D"
"AUT","NURSE","TOT","1000HAB","A","1986",3.56,"D"
"AUT","NURSE","TOT","1000HAB","A","1987",3.69,"D"
"AUT","NURSE","TOT","1000HAB","A","1988",3.67,"D"
"AUT","NURSE","TOT","1000HAB","A","1989",3.82,"D"
"AUT","NURSE","TOT","1000HAB","A","1990",3.91,"D"
"AUT","NURSE","TOT","1000HAB","A","1991",4.02,"D"
"AUT","NURSE","TOT","1000HAB","A","1992",4.19,"D"
"AUT","NURSE","TOT","1000HAB","A","1993",4.43,"D"
"AUT","NURSE","TOT","1000HAB","A","1994",4.75,"D"
"AUT","NURSE","TOT","1000HAB","A","1995",4.95,"D"
"AUT","NURSE","TOT","1000HAB","A","1996",5.06,"D"
"AUT","NURSE","TOT","1000HAB","A","1997",5.19,"D"
"AUT","NURSE","TOT","1000HAB","A","1998",5.27,"D"
"AUT","NURSE","TOT","1000HAB","A","1999",5.42,"D"
"AUT","NURSE","TOT","1000HAB","A","2000",5.55,"D"
"AUT","NURSE","TOT","1000HAB","A","2001",5.58,"D"
"AUT","NURSE","TOT","1000HAB","A","2002",5.68,"D"
"AUT","NURSE","TOT","1000HAB","A","2003",5.68,"D"
"AUT","NURSE","TOT","1000HAB","A","2004",5.93,"D"
"AUT","NURSE","TOT","1000HAB","A","2005",5.99,"D"
"AUT","NURSE","TOT","1000HAB","A","2006",6.14,"D"
"AUT","NURSE","TOT","1000HAB","A","2007",6.21,"D"
"AUT","NURSE","TOT","1000HAB","A","2008",6.36,"D"
"AUT","NURSE","TOT","1000HAB","A","2009",6.47,"D"
"AUT","NURSE","TOT","1000HAB","A","2010",6.53,"D"
"AUT","NURSE","TOT","1000HAB","A","2011",6.62,"D"
"AUT","NURSE","TOT","1000HAB","A","2012",6.65,"D"
"AUT","NURSE","TOT","1000HAB","A","2013",6.69,"D"
"AUT","NURSE","TOT","1000HAB","A","2014",6.79,"D"
"AUT","NURSE","TOT","1000HAB","A","2015",6.8,"D"
"AUT","NURSE","TOT","1000HAB","A","2016",6.77,"D"
"AUT","NURSE","TOT","1000HAB","A","2017",6.85,"D"
"AUT","NURSE","TOT","1000HAB","A","2018",6.87,"D"
"CAN","NURSE","TOT","1000HAB","A","2003",8.51,
"CAN","NURSE","TOT","1000HAB","A","2004",8.51,
"CAN","NURSE","TOT","1000HAB","A","2005",8.73,
"CAN","NURSE","TOT","1000HAB","A","2006",8.84,
"CAN","NURSE","TOT","1000HAB","A","2007",9.04,
"CAN","NURSE","TOT","1000HAB","A","2008",9.16,
"CAN","NURSE","TOT","1000HAB","A","2009",9.32,
"CAN","NURSE","TOT","1000HAB","A","2010",9.37,
"CAN","NURSE","TOT","1000HAB","A","2011",9.29,
"CAN","NURSE","TOT","1000HAB","A","2012",9.4,
"CAN","NURSE","TOT","1000HAB","A","2013",9.54,
"CAN","NURSE","TOT","1000HAB","A","2014",9.81,
"CAN","NURSE","TOT","1000HAB","A","2015",9.91,
"CAN","NURSE","TOT","1000HAB","A","2016",9.96,
"CAN","NURSE","TOT","1000HAB","A","2017",10,
"CAN","NURSE","TOT","1000HAB","A","2018",9.95,
"CZE","NURSE","TOT","1000HAB","A","1980",5.95,
"CZE","NURSE","TOT","1000HAB","A","1981",6.09,
"CZE","NURSE","TOT","1000HAB","A","1982",6.26,
"CZE","NURSE","TOT","1000HAB","A","1983",6.41,
"CZE","NURSE","TOT","1000HAB","A","1984",6.57,
"CZE","NURSE","TOT","1000HAB","A","1985",6.75,
"CZE","NURSE","TOT","1000HAB","A","1986",6.91,
"CZE","NURSE","TOT","1000HAB","A","1987",7.03,
"CZE","NURSE","TOT","1000HAB","A","1988",7.13,
"CZE","NURSE","TOT","1000HAB","A","1989",7.24,
"CZE","NURSE","TOT","1000HAB","A","1990",7.26,
"CZE","NURSE","TOT","1000HAB","A","1991",7.24,
"CZE","NURSE","TOT","1000HAB","A","1992",7.29,
"CZE","NURSE","TOT","1000HAB","A","1993",7.26,
"CZE","NURSE","TOT","1000HAB","A","1994",7.25,
"CZE","NURSE","TOT","1000HAB","A","1995",7.41,
"CZE","NURSE","TOT","1000HAB","A","1996",7.38,
"CZE","NURSE","TOT","1000HAB","A","1997",7.35,
"CZE","NURSE","TOT","1000HAB","A","1998",7.35,
"CZE","NURSE","TOT","1000HAB","A","1999",7.38,
"CZE","NURSE","TOT","1000HAB","A","2000",7.61,"B"
"CZE","NURSE","TOT","1000HAB","A","2001",7.85,
"CZE","NURSE","TOT","1000HAB","A","2002",7.99,
"CZE","NURSE","TOT","1000HAB","A","2003",7.98,
"CZE","NURSE","TOT","1000HAB","A","2004",8.11,"B"
"CZE","NURSE","TOT","1000HAB","A","2005",8.11,
"CZE","NURSE","TOT","1000HAB","A","2006",8.07,
"CZE","NURSE","TOT","1000HAB","A","2007",8.03,
"CZE","NURSE","TOT","1000HAB","A","2008",7.97,
"CZE","NURSE","TOT","1000HAB","A","2009",8.09,
"CZE","NURSE","TOT","1000HAB","A","2010",8.1,
"CZE","NURSE","TOT","1000HAB","A","2011",8.03,
"CZE","NURSE","TOT","1000HAB","A","2012",8.06,
"CZE","NURSE","TOT","1000HAB","A","2013",7.99,
"CZE","NURSE","TOT","1000HAB","A","2014",7.93,"E"
"CZE","NURSE","TOT","1000HAB","A","2015",8.01,
"CZE","NURSE","TOT","1000HAB","A","2016",8.07,
"CZE","NURSE","TOT","1000HAB","A","2017",8.06,
"CZE","NURSE","TOT","1000HAB","A","2018",8.07,
"DNK","NURSE","TOT","1000HAB","A","1992",8.73,
"DNK","NURSE","TOT","1000HAB","A","1993",8.81,
"DNK","NURSE","TOT","1000HAB","A","1994",8.72,
"DNK","NURSE","TOT","1000HAB","A","1995",8.76,
"DNK","NURSE","TOT","1000HAB","A","1996",8.82,
"DNK","NURSE","TOT","1000HAB","A","1997",9.06,
"DNK","NURSE","TOT","1000HAB","A","1998",9.17,
"DNK","NURSE","TOT","1000HAB","A","1999",9.13,
"DNK","NURSE","TOT","1000HAB","A","2000",9.31,
